year,data_status_code,property_type_sort,property_type_code,property_type,market_segment_sort,market_segment_code,market_segment,district_sort,district_code,district,num_units,price_per_m2,median_price,total_price,num_units_clean
2009,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),591,7738.0,790000.0,569969093.0,591.0
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,16,13070.0,899000.0,15250500.0,16.0
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,9,13603.0,990000.0,10513000.0,9.0
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,4–6,11213.0,520000.0,3255000.0,4.0
2009,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,62,10938.0,1187500.0,84527339.0,62.0
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,48,11441.0,1230000.0,67430197.0,48.0
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,11–13,9917.0,1190000.0,14728142.0,11.0
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,27,7798.0,527000.0,18498107.0,27.0
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,8,5985.0,488500.0,5454607.0,8.0
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,8,8362.0,400000.0,3520000.0,8.0
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,11,8209.0,850000.0,9523500.0,11.0
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,17,5526.0,400000.0,6671000.0,17.0
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,7,6867.0,430000.0,3481000.0,7.0
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,10,5423.0,340000.0,3190000.0,10.0
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,16,11405.0,1158913.0,16510166.0,16.0
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,4,8931.0,517500.0,2845000.0,4.0
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,12,12477.0,1210000.0,13665166.0,12.0
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,42,10340.0,1185000.0,50360969.0,42.0
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,11,9643.0,725000.0,9413449.0,11.0
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,31,11000.0,1280000.0,40947520.0,31.0
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,106,11854.0,1240000.0,151266345.0,106.0
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,31,13415.0,1650000.0,56523000.0,31.0
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,31,13438.0,1400000.0,50481345.0,31.0
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,9,11429.0,1200000.0,11035000.0,9.0
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,35,7716.0,831000.0,33227000.0,35.0
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,22,11289.0,1080000.0,24228000.0,22.0
2009,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,9,10638.0,1050000.0,8210000.0,9.0
2009,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,8,11914.0,937500.0,9608000.0,8.0
2009,D,1,22,Kauf,1,J,Ja,83,83,Weinegg,5,11917.0,1200000.0,6410000.0,5.0
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,28,7106.0,548000.0,15626250.0,28.0
2009,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,23,7836.0,605000.0,13318890.0,23.0
2009,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,5,6027.0,440000.0,2307360.0,5.0
2009,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,85,7692.0,815000.0,73783700.0,85.0
2009,D,1,22,Kauf,1,J,Ja,101,101,Höngg,70,7662.0,850000.0,61258700.0,70.0
2009,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,15-21,7857.0,795000.0,12525000.0,15.0
2009,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,161,5736.0,675000.0,109261769.0,161.0
2009,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,71,5736.0,745000.0,56894000.0,71.0
2009,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,26,6563.0,511000.0,13814000.0,26.0
2009,D,1,22,Kauf,1,J,Ja,119,119,Seebach,64,5483.0,585000.0,38553769.0,64.0
2009,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,9,4976.0,423000.0,3984949.0,9.0
2009,D,1,22,Kauf,1,J,Ja,123,123,Hirzenbach,4,5631.0,602500.0,2230000.0,4.0
2010,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),742,7988.0,856500.0,728399360.0,742.0
2010,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,3-9,10625.0,485000.0,1505000.0,3.0
2010,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,35,9310.0,850000.0,33828822.0,35.0
2010,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,24,8359.0,841769.0,21091822.0,24.0
2010,D,1,22,Kauf,1,J,Ja,24,24,Enge,8–10,10682.0,1375000.0,12107000.0,8.0
2010,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,104,7911.0,967500.0,97659273.0,104.0
2010,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,91,7823.0,970000.0,87342094.0,91.0
2010,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,10–12,9744.0,597500.0,9502179.0,10.0
2010,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,21,7292.0,650000.0,13046756.0,21.0
2010,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,15-19,8317.0,769000.0,11114256.0,15.0
2010,D,1,22,Kauf,1,J,Ja,44,44,Hard,3–5,5600.0,247500.0,1467500.0,3.0
2010,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,61,8495.0,890000.0,59117900.0,61.0
2010,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,14,6267.0,634776.0,9829400.0,14.0
2010,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,47,8598.0,945000.0,49288500.0,47.0
2010,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,102,8168.0,982500.0,107313680.0,102.0
2010,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,88,8112.0,940000.0,83569603.0,88.0
2010,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,14,12639.0,1478500.0,23744077.0,14.0
2010,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,80,11475.0,1294594.0,131334962.0,80.0
2010,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,20,11168.0,1241462.0,31320925.0,20.0
2010,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,26-30,13216.0,2147500.0,54935537.0,26.0
2010,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,12,13333.0,2120311.0,22533500.0,12.0
2010,D,1,22,Kauf,1,J,Ja,74,74,Witikon,22,8016.0,845000.0,22545000.0,22.0
2010,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,21-30,11008.0,1367500.0,39771000.0,21.0
2010,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,8-12,10923.0,1513000.0,18124000.0,8.0
2010,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,17,10917.0,655000.0,20397000.0,17.0
2010,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,25,7429.0,675000.0,18019250.0,25.0
2010,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,19,7429.0,675000.0,13950000.0,19.0
