"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2009,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt","591",7738,790000,569969093
2009,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1","16",13070,899000,15250500
2009,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus","9",13603,990000,10513000
2009,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof","4–6",11213,520000,3255000
2009,"D",1,"22","Kauf",1,"J","Ja",14,"014","City","1–3",4600,684926,K
2009,"D",1,"22","Kauf",1,"J","Ja",20,"2","Kreis 2","62",10938,1187500,84527339
2009,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen","48",11441,1230000,67430197
2009,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach","1-3",6504,930000,2369000
2009,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge","11–13",9917,1190000,14728142
2009,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3","27",7798,527000,18498107
2009,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon","8",5985,488500,5454607
2009,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg","8",8362,400000,3520000
2009,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld","11",8209,850000,9523500
2009,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4","17",5526,400000,6671000
2009,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","0",,,
2009,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","7",6867,430000,3481000
2009,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","10",5423,340000,3190000
2009,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","16",11405,1158913,16510166
2009,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","4",8931,517500,2845000
2009,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","12",12477,1210000,13665166
2009,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","42",10340,1185000,50360969
2009,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","11",9643,725000,9413449
